port,app,notes
# `smoke-shot` en notes = `driver.mjs smoke` le saca screenshot (páginas de entrada).
3000,gateway,API gateway — redirige a la app por defecto
3001,test/users-management,
3002,test/home,sirve bajo sub-path (404 en /)
3003,test/config,
3004,test/web-layout,
3005,test/web-layout-mobile,
3006,test/home-mobile,
3007,test/web-vite-react,probe de bundler (vite + react)
3008,test/web-astro,probe de bundler (astro)
3010,public/community-home,smoke-shot
3012,public/adc-auth,smoke-shot
3014,public/adc-identity,
3016,public/my-account,
3018,public/adc-project-manager,
3020,public/status,
3022,public/help,
3024,public/adc-home,smoke-shot
3026,public/adc-error,
3028,public/adc-org-requests,
3030,public/adc-email-frontend,
3032,public/adc-drive,
3034,public/adc-image-editor,
3036,public/adc-notifications,
3038,public/adc-modules-manager,
3040,public/adc-image-editor-mobile,
3042,public/adc-subscriptions,preset adc-subscriptions (privado)
3044,public/adc-games,preset games — sitio en construcción (sin publicidad activa)
3046,public/adc-admin-panel,
3048,public/adc-network,preset adc-network — nodos, topología de datos y red privada
3050,public/adc-generators,preset adc-generators — generadores y utilidades (subdominio gen)
